"fat_thickness [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
10,0.6,44,122,-35.0223415656987
10,0.6,44,124,-35.2133664390417
10,0.6,44,126,-35.4198329303556
10,0.6,44,128,-35.6428245047987
10,0.6,44,130,-35.8835417765956
10,0.6,44,132,-36.1433049956083
10,0.6,44,134,-36.4235581839945
10,0.6,44,136,-36.7258761978493
10,0.6,44,138,-37.0519762579754
10,0.6,44,140,-37.4037358163825
10,0.6,44,142,-37.7832190365644
10,0.6,44,144,-38.1927147177638
10,0.6,44,146,-38.6347892606976
10,0.6,44,148,-39.1123593626883
10,0.6,44,150,-39.6287907031902
10,0.6,44,152,-40.188031174008
10,0.6,44,154,-40.794790576784
10,0.6,44,156,-41.4547836730972
10,0.6,44,158,-42.1750607460115
10,0.6,44,160,-42.9644602406026
10,0.6,44,162,-43.8342319335708
10,0.6,44,164,-44.7988938235471
10,0.6,44,166,-45.8773866946145
10,0.6,44,168,-47.0945155364382
10,0.6,44,170,-48.4822765168018
10,0.6,44,172,-50.0790172347694
10,0.6,44,174,-51.9176835927136
10,0.6,44,176,-53.9685096715971
10,0.6,44,178,-55.9298394409387
10,0.6,44,180,-56.8777561883776
12.5,0.6,44,0,-57.6857728907195
12.5,0.6,44,2,-54.907790678955
12.5,0.6,44,4,-52.3977464585436
12.5,0.6,44,6,-50.3221472331765
12.5,0.6,44,8,-48.5979695779686
12.5,0.6,44,10,-47.1383310991017
12.5,0.6,44,12,-45.8794773245139
12.5,0.6,44,14,-44.7766519641943
12.5,0.6,44,16,-43.7981425153023
12.5,0.6,44,18,-42.9209919225278
12.5,0.6,44,20,-42.1281905394363
12.5,0.6,44,22,-41.4068515890073
12.5,0.6,44,24,-40.747007206431
12.5,0.6,44,26,-40.1407966892973
12.5,0.6,44,28,-39.5819071915512
12.5,0.6,44,30,-39.0651807901149
12.5,0.6,44,32,-38.5863339323964
12.5,0.6,44,34,-38.1417546008303
12.5,0.6,44,36,-37.7283543742247
12.5,0.6,44,38,-37.3434599711917
12.5,0.6,44,40,-36.9847335907669
12.5,0.6,44,42,-36.6501144508792
12.5,0.6,44,44,-36.3377759807871
12.5,0.6,44,46,-36.0460945228762
12.5,0.6,44,48,-35.7736263761384
12.5,0.6,44,50,-35.5190907185644
12.5,0.6,44,52,-35.2813564772528
12.5,0.6,44,54,-35.0594316379697
12.5,0.6,44,56,-34.8524538409304
12.5,0.6,44,58,-34.6596814197729
12.5,0.6,44,60,-34.4804843160728
12.5,0.6,44,62,-34.3143345435815
12.5,0.6,44,64,-34.1607960812425
12.5,0.6,44,66,-34.0195142375477
12.5,0.6,44,68,-33.8902046483357
12.5,0.6,44,70,-33.7726421465616
12.5,0.6,44,72,-33.6666497804827
12.5,0.6,44,74,-33.5720882636877
12.5,0.6,44,76,-33.4888461254905
12.5,0.6,44,78,-33.4168308022977
12.5,0.6,44,80,-33.355960876899
12.5,0.6,44,82,-33.3061596380596
12.5,0.6,44,84,-33.267350099477
12.5,0.6,44,86,-33.2394515850041
12.5,0.6,44,88,-33.2223779544513
12.5,0.6,44,90,-33.2160375091565
12.5,0.6,44,92,-33.2203345771606
12.5,0.6,44,94,-33.2351727337026
12.5,0.6,44,96,-33.2604595648393
12.5,0.6,44,98,-33.296112832877
12.5,0.6,44,100,-33.3420678557654
12.5,0.6,44,102,-33.3982858730251
12.5,0.6,44,104,-33.4647631422758
12.5,0.6,44,106,-33.5415404960534
12.5,0.6,44,108,-33.6287130896647
12.5,0.6,44,110,-33.7264400867383
12.5,0.6,44,112,-33.8349540575612
12.5,0.6,44,114,-33.9545699030464
12.5,0.6,44,116,-34.085693161172
12.5,0.6,44,118,-34.2288276012226
12.5,0.6,44,120,-34.3845820645182
12.5,0.6,44,122,-34.5536765712957
12.5,0.6,44,124,-34.7369477867026
12.5,0.6,44,126,-34.9353540299961
12.5,0.6,44,128,-35.1499801251197
12.5,0.6,44,130,-35.3820425315065
12.5,0.6,44,132,-35.6328953632889
12.5,0.6,44,134,-35.9040381045078
12.5,0.6,44,136,-36.1971260606257
12.5,0.6,44,138,-36.513984861095
12.5,0.6,44,140,-36.8566306620591
12.5,0.6,44,142,-37.2272981254541
12.5,0.6,44,144,-37.628478824751
12.5,0.6,44,146,-38.0629735311396
12.5,0.6,44,148,-38.5339629903424
12.5,0.6,44,150,-39.0451034913668
12.5,0.6,44,152,-39.6006560240458
12.5,0.6,44,154,-40.2056615246972
12.5,0.6,44,156,-40.8661802173116
12.5,0.6,44,158,-41.58962123389
12.5,0.6,44,160,-42.3852006598822
12.5,0.6,44,162,-43.2645828590228
12.5,0.6,44,164,-44.2427801314916
12.5,0.6,44,166,-45.3393976429166
12.5,0.6,44,168,-46.5802592419365
12.5,0.6,44,170,-47.9991079617726
12.5,0.6,44,172,-49.6375066992625
12.5,0.6,44,174,-51.5343365548811
12.5,0.6,44,176,-53.6686248870434
12.5,0.6,44,178,-55.7347314901895
12.5,0.6,44,180,-56.7321326849543
15,0.6,44,0,-57.3806951162864
15,0.6,44,2,-58.9428896341949
15,0.6,44,4,-57.067614626968
15,0.6,44,6,-54.0794037147166
15,0.6,44,8,-51.474685803057
15,0.6,44,10,-49.3524346113914
15,0.6,44,12,-47.6011986736677
15,0.6,44,14,-46.1237316691173
15,0.6,44,16,-44.8521484833925
15,0.6,44,18,-43.7398546008727
15,0.6,44,20,-42.7542248407306
15,0.6,44,22,-41.8717945539556
15,0.6,44,24,-41.0752361976757
15,0.6,44,26,-40.3514399764084
15,0.6,44,28,-39.6902664235358
15,0.6,44,30,-39.0837142062958
15,0.6,44,32,-38.5253509009804
15,0.6,44,34,-38.0099148720064
15,0.6,44,36,-37.5330315273586
15,0.6,44,38,-37.0910080447902
15,0.6,44,40,-36.6806832638444
15,0.6,44,42,-36.2993172203923
15,0.6,44,44,-35.9445096933567
15,0.6,44,46,-35.6141402594698
15,0.6,44,48,-35.3063243817924
15,0.6,44,50,-35.0193814039107
15,0.6,44,52,-34.7518112446751
15,0.6,44,54,-34.5022772546593
15,0.6,44,56,-34.2695932108707
15,0.6,44,58,-34.0527128546529
15,0.6,44,60,-33.8507207540544
15,0.6,44,62,-33.6628236109783
15,0.6,44,64,-33.4883414373013
15,0.6,44,66,-33.3266982884682
15,0.6,44,68,-33.1774124618753
15,0.6,44,70,-33.0400862365097
15,0.6,44,72,-32.9143953492763
15,0.6,44,74,-32.8000784756206
15,0.6,44,76,-32.6969270139458
15,0.6,44,78,-32.6047754732235
15,0.6,44,80,-32.5234927396974
15,0.6,44,82,-32.4529744594386
15,0.6,44,84,-32.3931367249826
15,0.6,44,86,-32.3439112008985
15,0.6,44,88,-32.3052417679476
15,0.6,44,90,-32.2770827103518
15,0.6,44,92,-32.2593984168104
15,0.6,44,94,-32.2521645141178
15,0.6,44,96,-32.2553703033647
15,0.6,44,98,-32.2690223236769
15,0.6,44,100,-32.2931488284078
15,0.6,44,102,-32.3278049250864
15,0.6,44,104,-32.3730781049425
15,0.6,44,106,-32.4290938725283
15,0.6,44,108,-32.4960211831323
15,0.6,44,110,-32.5740774077953
15,0.6,44,112,-32.6635325751948
15,0.6,44,114,-32.7647126884133
15,0.6,44,116,-32.8780019837241
15,0.6,44,118,-33.0038440876434
15,0.6,44,120,-33.1427421353945
15,0.6,44,122,-33.2952580342586
15,0.6,44,124,-33.462011182746
15,0.6,44,126,-33.6436770834038
15,0.6,44,128,-33.8409864053757
15,0.6,44,130,-34.0547251557646
15,0.6,44,132,-34.2857367025867
15,0.6,44,134,-34.5349264576059
15,0.6,44,136,-34.803270081843
15,0.6,44,138,-35.0918261348041
15,0.6,44,140,-35.4017541733329
15,0.6,44,142,-35.7343394489029
15,0.6,44,144,-36.0910255938624
15,0.6,44,146,-36.473457079591
15,0.6,44,148,-36.8835338409083
15,0.6,44,150,-37.3234813862713
15,0.6,44,152,-37.795941093978
15,0.6,44,154,-38.3040874559028
15,0.6,44,156,-38.8517821457621
15,0.6,44,158,-39.4437795967305
15,0.6,44,160,-40.0860063883294
15,0.6,44,162,-40.7859491572988
15,0.6,44,164,-41.5532066168484
15,0.6,44,166,-42.4002975083567
15,0.6,44,168,-43.3438814513296
15,0.6,44,170,-44.4066710771412
15,0.6,44,172,-45.6205482609909
15,0.6,44,174,-47.031861028108
15,0.6,44,176,-48.7107746427277
15,0.6,44,178,-50.7678723113917
15,0.6,44,180,-53.3784527339667
5,0.6,90,0,-60.4350395970726
5,0.6,90,2,-63.6458254097823
5,0.6,90,4,-62.0544532507024
5,0.6,90,6,-58.2836043012021
5,0.6,90,8,-55.1943970892796
5,0.6,90,10,-52.7999803592859
5,0.6,90,12,-50.8803015535182
5,0.6,90,14,-49.2874302707022
5,0.6,90,16,-47.9294436957597
5,0.6,90,18,-46.7473902765709
5,0.6,90,20,-45.7018098415425
5,0.6,90,22,-44.76524334377
5,0.6,90,24,-43.9179471165688
5,0.6,90,26,-43.1453338027887
5,0.6,90,28,-42.4363785465528
5,0.6,90,30,-41.782587537035
5,0.6,90,32,-41.1773073609044
5,0.6,90,34,-40.6152485159566
5,0.6,90,36,-40.0921480105851
5,0.6,90,38,-39.604525049023
5,0.6,90,40,-39.1495007573751
5,0.6,90,42,-38.7246630986997
5,0.6,90,44,-38.3279644233517
5,0.6,90,46,-37.957643088948
5,0.6,90,48,-37.6121631670063
5,0.6,90,50,-37.2901679610006
5,0.6,90,52,-36.9904442124297
5,0.6,90,54,-36.7118946638801
5,0.6,90,56,-36.4535172042241
5,0.6,90,58,-36.2143892196452
5,0.6,90,60,-35.9936560659685
5,0.6,90,62,-35.7905227959641
5,0.6,90,64,-35.6042484417134
5,0.6,90,66,-35.4341422811582
5,0.6,90,68,-35.2795616191911
5,0.6,90,70,-35.1399106935244
5,0.6,90,72,-35.0146403786527
5,0.6,90,74,-34.903248410869
5,0.6,90,76,-34.8052798963402
5,0.6,90,78,-34.7203278952536
5,0.6,90,80,-34.6480339005386
5,0.6,90,82,-34.5880880521673
5,0.6,90,84,-34.5402289499935
5,0.6,90,86,-34.5042429517765
5,0.6,90,88,-34.4799628703366
5,0.6,90,90,-34.467266016043
5,0.6,90,92,-34.4660715686574
5,0.6,90,94,-34.4763373057534
5,0.6,90,96,-34.4980557624588
5,0.6,90,98,-34.5312499472966
5,0.6,90,100,-34.5759687889276
5,0.6,90,102,-34.6322825356512
5,0.6,90,104,-34.7002783703536
5,0.6,90,106,-34.7800565349546
5,0.6,90,108,-34.8717272772692
5,0.6,90,110,-34.9754089370291
5,0.6,90,112,-35.0912274748192
5,0.6,90,114,-35.2193177170808
5,0.6,90,116,-35.3598265426365
5,0.6,90,118,-35.5129181734707
5,0.6,90,120,-35.6787816586148
5,0.6,90,122,-35.8576405607971
5,0.6,90,124,-36.0497647788316
5,0.6,90,126,-36.2554843742046
5,0.6,90,128,-36.4752052290373
5,0.6,90,130,-36.709426356473
5,0.6,90,132,-36.9587587255495
5,0.6,90,134,-37.223945562221
5,0.6,90,136,-37.5058842569236
5,0.6,90,138,-37.8056502568477
5,0.6,90,140,-38.124523658586
5,0.6,90,142,-38.4640196582958
5,0.6,90,144,-38.8259245846701
5,0.6,90,146,-39.2123399736058
5,0.6,90,148,-39.6257381091363
5,0.6,90,150,-40.0690337656189
5,0.6,90,152,-40.5456787292784
5,0.6,90,154,-41.059788364801
5,0.6,90,156,-41.6163135443789
5,0.6,90,158,-42.2212775497915
5,0.6,90,160,-42.8821076020273
5,0.6,90,162,-43.608107120671
5,0.6,90,164,-44.411142429546
5,0.6,90,166,-45.3066650848988
5,0.6,90,168,-46.3152740748793
5,0.6,90,170,-47.4651678805832
5,0.6,90,172,-48.7960797625496
5,0.6,90,174,-50.3655970221037
5,0.6,90,176,-52.2584308001002
5,0.6,90,178,-54.5923870504546
5,0.6,90,180,-57.4560351570435
7.5,0.6,90,0,-54.9500624270445
7.5,0.6,90,2,-55.0352960179543
7.5,0.6,90,4,-54.0422813818059
7.5,0.6,90,6,-52.499995419869
7.5,0.6,90,8,-50.8702120238605
7.5,0.6,90,10,-49.345256172295
7.5,0.6,90,12,-47.971987745987
7.5,0.6,90,14,-46.7462196724818
7.5,0.6,90,16,-45.6502598675193
7.5,0.6,90,18,-44.6651904295184
7.5,0.6,90,20,-43.7743063070287
7.5,0.6,90,22,-42.9637002173237
7.5,0.6,90,24,-42.2220078478965
7.5,0.6,90,26,-41.5399708128429
7.5,0.6,90,28,-40.9100197281437
7.5,0.6,90,30,-40.325928209893
7.5,0.6,90,32,-39.782540041904
7.5,0.6,90,34,-39.2755582526862
7.5,0.6,90,36,-38.801382949602
7.5,0.6,90,38,-38.3569863385804
7.5,0.6,90,40,-37.9398156394736
7.5,0.6,90,42,-37.5477167205027
7.5,0.6,90,44,-37.1788730133969
7.5,0.6,90,46,-36.8317556418862
7.5,0.6,90,48,-36.5050817636314
7.5,0.6,90,50,-36.1977789547069
7.5,0.6,90,52,-35.9089541087264
7.5,0.6,90,54,-35.6378658180021
7.5,0.6,90,56,-35.3838995792819
7.5,0.6,90,58,-35.146545442001
7.5,0.6,90,60,-34.9253779088832
7.5,0.6,90,62,-34.7200380213535
7.5,0.6,90,64,-34.5302176288327
7.5,0.6,90,66,-34.3556458642693
7.5,0.6,90,68,-34.19607784017
7.5,0.6,90,70,-34.051285550813
7.5,0.6,90,72,-33.9210509266508
7.5,0.6,90,74,-33.8051609437497
7.5,0.6,90,76,-33.7034046501312
7.5,0.6,90,78,-33.6155719358815
7.5,0.6,90,80,-33.5414538469744
7.5,0.6,90,82,-33.4808442246378
7.5,0.6,90,84,-33.4335424424952
7.5,0.6,90,86,-33.3993570116719
7.5,0.6,90,88,-33.3781098283057
7.5,0.6,90,90,-33.3696408470979
7.5,0.6,90,92,-33.3738129775001
7.5,0.6,90,94,-33.3905170149145
7.5,0.6,90,96,-33.4196764372632
7.5,0.6,90,98,-33.461251917131
7.5,0.6,90,100,-33.5152454213103
7.5,0.6,90,102,-33.5817037930605
7.5,0.6,90,104,-33.6607217378851
7.5,0.6,90,106,-33.7524441613075
7.5,0.6,90,108,-33.8570678371171
7.5,0.6,90,110,-33.9748424169701
7.5,0.6,90,112,-34.1060708271267
7.5,0.6,90,114,-34.251109135603
7.5,0.6,90,116,-34.4103660132892
7.5,0.6,90,118,-34.5843019559752
7.5,0.6,90,120,-34.7734284812618
7.5,0.6,90,122,-34.9783075657907
7.5,0.6,90,124,-35.1995516451736
7.5,0.6,90,126,-35.4378245628418
7.5,0.6,90,128,-35.6938439266354
7.5,0.6,90,130,-35.9683854157801
7.5,0.6,90,132,-36.262289679331
7.5,0.6,90,134,-36.5764725849089
7.5,0.6,90,136,-36.9119397203367
7.5,0.6,90,138,-37.2698062303414
7.5,0.6,90,140,-37.6513233000367
7.5,0.6,90,142,-38.05791289732
7.5,0.6,90,144,-38.4912127881969
7.5,0.6,90,146,-38.9531343870892
7.5,0.6,90,148,-39.4459367629973
7.5,0.6,90,150,-39.9723211837353
7.5,0.6,90,152,-40.5355520701399
7.5,0.6,90,154,-41.1396123109786
7.5,0.6,90,156,-41.7894037295772
7.5,0.6,90,158,-42.4910071775257
7.5,0.6,90,160,-43.2520209166094
7.5,0.6,90,162,-44.0819988408759
7.5,0.6,90,164,-44.9930053299061
7.5,0.6,90,166,-46.0002706964894
7.5,0.6,90,168,-47.1228059671188
7.5,0.6,90,170,-48.383412956729
7.5,0.6,90,172,-49.8061384463532
7.5,0.6,90,174,-51.4047217681774
7.5,0.6,90,176,-53.1420057837946
7.5,0.6,90,178,-54.813244602516
7.5,0.6,90,180,-55.8640995769459
10,0.6,90,0,-59.9381063992794
10,0.6,90,2,-56.2038244569092
10,0.6,90,4,-53.3618034660729
10,0.6,90,6,-51.1568195789166
10,0.6,90,8,-49.3737244157473
10,0.6,90,10,-47.8826336883104
10,0.6,90,12,-46.6037316481535
10,0.6,90,14,-45.4854905019295
10,0.6,90,16,-44.4930524131501
10,0.6,90,18,-43.6018834975096
10,0.6,90,20,-42.7941384760603
10,0.6,90,22,-42.0564766103428
10,0.6,90,24,-41.3786922700888
10,0.6,90,26,-40.7528236904243
10,0.6,90,28,-40.1725539238276
10,0.6,90,30,-39.6327967790113
10,0.6,90,32,-39.129403582278
10,0.6,90,34,-38.6589510448261
10,0.6,90,36,-38.2185849028952
10,0.6,90,38,-37.8059027335355
10,0.6,90,40,-37.4188648104432
10,0.6,90,42,-37.055725370764
10,0.6,90,44,-36.7149789707401
10,0.6,90,46,-36.3953181605305
10,0.6,90,48,-36.0955997748932
10,0.6,90,50,-35.8148178821978
10,0.6,90,52,-35.5520819635373
10,0.6,90,54,-35.3065992732827
10,0.6,90,56,-35.0776606058977
10,0.6,90,58,-34.8646288903604
10,0.6,90,60,-34.6669301731172
10,0.6,90,62,-34.4840466472547
10,0.6,90,64,-34.3155114499386
10,0.6,90,66,-34.1609049900875
10,0.6,90,68,-34.0198525901257
10,0.6,90,70,-33.8920232347842
10,0.6,90,72,-33.7771292208115
10,0.6,90,74,-33.6749264980276
10,0.6,90,76,-33.5852154877479
10,0.6,90,78,-33.5078421620578
10,0.6,90,80,-33.4426991690215
10,0.6,90,82,-33.3897267963887
10,0.6,90,84,-33.3489135808736
10,0.6,90,86,-33.3202963922049
10,0.6,90,88,-33.3039598508812
10,0.6,90,90,-33.3000349754261
10,0.6,90,92,-33.3086969979587
10,0.6,90,94,-33.3301623347699
10,0.6,90,96,-33.3646847497564
10,0.6,90,98,-33.412550801298
10,0.6,90,100,-33.4740747157141
10,0.6,90,102,-33.5495928811045
10,0.6,90,104,-33.6394582025822
10,0.6,90,106,-33.7440346022522
10,0.6,90,108,-33.8636919835676
10,0.6,90,110,-33.9988020089452
10,0.6,90,112,-34.1497350609969
10,0.6,90,114,-34.3168587709995
10,0.6,90,116,-34.5005385031875
10,0.6,90,118,-34.7011401805431
10,0.6,90,120,-34.9190358281404
10,0.6,90,122,-35.1546121960043
10,0.6,90,124,-35.408282808574
10,0.6,90,126,-35.6805037779659
10,0.6,90,128,-35.9717937216929
10,0.6,90,130,-36.2827581541558
10,0.6,90,132,-36.6141187912982
10,0.6,90,134,-36.9667483411847
10,0.6,90,136,-37.3417115793505
10,0.6,90,138,-37.740313866453
10,0.6,90,140,-38.1641588123396
10,0.6,90,142,-38.6152176041619
10,0.6,90,144,-39.0959137137149
10,0.6,90,146,-39.6092284604442
10,0.6,90,148,-40.158835516044
10,0.6,90,150,-40.7492763567949
10,0.6,90,152,-41.3861946696397
10,0.6,90,154,-42.0766570997726
10,0.6,90,156,-42.8296027302285
10,0.6,90,158,-43.6564881881987
10,0.6,90,160,-44.5722359485981
10,0.6,90,162,-45.5966611238005
10,0.6,90,164,-46.7566610437302
10,0.6,90,166,-48.0896011924195
10,0.6,90,168,-49.6483783961764
10,0.6,90,170,-51.5075440644866
10,0.6,90,172,-53.7609247804549
10,0.6,90,174,-56.4415653297045
10,0.6,90,176,-58.9906312400055
10,0.6,90,178,-59.2495438181669
10,0.6,90,180,-56.8777561883776
12.5,0.6,90,0,-57.6857728907195
12.5,0.6,90,2,-54.7563625323759
12.5,0.6,90,4,-52.280115224706
12.5,0.6,90,6,-50.2711977516493
12.5,0.6,90,8,-48.6132045847303
12.5,0.6,90,10,-47.2128598912552
12.5,0.6,90,12,-46.0056881800155
12.5,0.6,90,14,-44.9473063941033
12.5,0.6,90,16,-44.0064632725627
12.5,0.6,90,18,-43.1605605521264
12.5,0.6,90,20,-42.3928450135145
12.5,0.6,90,22,-41.6906216943927
12.5,0.6,90,24,-41.0440874727182
12.5,0.6,90,26,-40.4455485083673
12.5,0.6,90,28,-39.8888813610697
12.5,0.6,90,30,-39.3691530707982
12.5,0.6,90,32,-38.8823477479216
12.5,0.6,90,34,-38.4251663438957
12.5,0.6,90,36,-37.9948778551699
12.5,0.6,90,38,-37.5892073829016
12.5,0.6,90,40,-37.2062510102665
12.5,0.6,90,42,-36.8444104027763
12.5,0.6,90,44,-36.5023419986185
12.5,0.6,90,46,-36.1789170051145
12.5,0.6,90,48,-35.8731893786565
12.5,0.6,90,50,-35.5843696759102
12.5,0.6,90,52,-35.311803206621
12.5,0.6,90,54,-35.0549513426748
12.5,0.6,90,56,-34.8133751733786
12.5,0.6,90,58,-34.5867209605302
12.5,0.6,90,60,-34.3747070494327
12.5,0.6,90,62,-34.1771120412023
12.5,0.6,90,64,-33.9937641340824
12.5,0.6,90,66,-33.8245316036352
12.5,0.6,90,68,-33.6693144206838
12.5,0.6,90,70,-33.5280370091467
12.5,0.6,90,72,-33.4006421309206
12.5,0.6,90,74,-33.2870858589102
12.5,0.6,90,76,-33.1873335686249
12.5,0.6,90,78,-33.10135684899
12.5,0.6,90,80,-33.0291312085204
12.5,0.6,90,82,-32.970634436978
12.5,0.6,90,84,-32.9258454771583
12.5,0.6,90,86,-32.8947436675231
12.5,0.6,90,88,-32.8773082341304
12.5,0.6,90,90,-32.8735179389942
12.5,0.6,90,92,-32.883350830244
12.5,0.6,90,94,-32.9067840852627
12.5,0.6,90,96,-32.9437939888733
12.5,0.6,90,98,-32.9943561416563
12.5,0.6,90,100,-33.0584460453262
12.5,0.6,90,102,-33.136040259148
12.5,0.6,90,104,-33.2271183598935
12.5,0.6,90,106,-33.3316659640475
12.5,0.6,90,108,-33.4496790814006
12.5,0.6,90,110,-33.5811700609065
12.5,0.6,90,112,-33.7261753609303
12.5,0.6,90,114,-33.8847653265314
12.5,0.6,90,116,-34.0570560881773
12.5,0.6,90,118,-34.2432236140008
12.5,0.6,90,120,-34.4435198592836
12.5,0.6,90,122,-34.6582908735321
12.5,0.6,90,124,-34.8879966617009
12.5,0.6,90,126,-35.133232568712
12.5,0.6,90,128,-35.394751983804
12.5,0.6,90,130,-35.6734902621718
12.5,0.6,90,132,-35.9705899539567
12.5,0.6,90,134,-36.2874277323561
12.5,0.6,90,136,-36.6256438415017
12.5,0.6,90,138,-36.9871754631416
12.5,0.6,90,140,-37.3742961624618
12.5,0.6,90,142,-37.7896645733443
12.5,0.6,90,144,-38.2363868177079
12.5,0.6,90,146,-38.718098985801
12.5,0.6,90,148,-39.2390786105123
12.5,0.6,90,150,-39.804397913041
12.5,0.6,90,152,-40.4201374631696
12.5,0.6,90,154,-41.0936881236309
12.5,0.6,90,156,-41.8341840591185
12.5,0.6,90,158,-42.6531342855887
12.5,0.6,90,160,-43.5653619972251
12.5,0.6,90,162,-44.590432453209
12.5,0.6,90,164,-45.7548717416838
12.5,0.6,90,166,-47.0956699698454
12.5,0.6,90,168,-48.6657605743217
12.5,0.6,90,170,-50.5416662772167
12.5,0.6,90,172,-52.8271641159854
12.5,0.6,90,174,-55.5983158414623
12.5,0.6,90,176,-58.4343390372911
12.5,0.6,90,178,-59.0955777785477
12.5,0.6,90,180,-56.7321326849543
15,0.6,90,0,-57.3806951162864
15,0.6,90,2,-57.7390756149482
15,0.6,90,4,-55.5552758218691
15,0.6,90,6,-52.8971186602707
15,0.6,90,8,-50.5897123689811
15,0.6,90,10,-48.6738788674076
15,0.6,90,12,-47.0682549905304
15,0.6,90,14,-45.6987676105353
15,0.6,90,16,-44.5110890321341
15,0.6,90,18,-43.4664274759176
15,0.6,90,20,-42.5367428289766
15,0.6,90,22,-41.7013217660954
15,0.6,90,24,-40.9445077296245
15,0.6,90,26,-40.254207162444
15,0.6,90,28,-39.6208941855958
15,0.6,90,30,-39.0369353231091
15,0.6,90,32,-38.4961227047109
15,0.6,90,34,-37.9933456031718
15,0.6,90,36,-37.5243554563146
15,0.6,90,38,-37.0855950807704
15,0.6,90,40,-36.6740725154235
15,0.6,90,42,-36.2872661529844
15,0.6,90,44,-35.9230518958426
15,0.6,90,46,-35.579645820454
15,0.6,90,48,-35.2555577409514
15,0.6,90,50,-34.9495524225068
15,0.6,90,52,-34.6606161876811
15,0.6,90,54,-34.3879273943814
15,0.6,90,56,-34.1308298101159
15,0.6,90,58,-33.8888083074345
15,0.6,90,60,-33.6614665891583
15,0.6,90,62,-33.4485068410514
15,0.6,90,64,-33.2497113218085
15,0.6,90,66,-33.0649259513899
15,0.6,90,68,-32.8940459632979
15,0.6,90,70,-32.737003657645
15,0.6,90,72,-32.5937582417887
15,0.6,90,74,-32.4642876843607
15,0.6,90,76,-32.3485824454391
15,0.6,90,78,-32.2466408874381
15,0.6,90,80,-32.1584661233217
15,0.6,90,82,-32.0840640247581
15,0.6,90,84,-32.0234420951363
15,0.6,90,86,-31.9766089120772
15,0.6,90,88,-31.943573861168
15,0.6,90,90,-31.9243469161788
15,0.6,90,92,-31.9189382691828
15,0.6,90,94,-31.9273576742749
15,0.6,90,96,-31.9496134378762
15,0.6,90,98,-31.9857110633618
15,0.6,90,100,-32.0356516340988
15,0.6,90,102,-32.0994300929185
15,0.6,90,104,-32.1770336435303
15,0.6,90,106,-32.2684405564821
15,0.6,90,108,-32.3736197052625
15,0.6,90,110,-32.4925311836309
15,0.6,90,112,-32.6251283603305
15,0.6,90,114,-32.7713617097494
15,0.6,90,116,-32.9311847156041
15,0.6,90,118,-33.1045620795389
15,0.6,90,120,-33.2914803798571
15,0.6,90,122,-33.4919612222502
15,0.6,90,124,-33.706076812338
15,0.6,90,126,-33.9339677705336
15,0.6,90,128,-34.1758629180019
15,0.6,90,130,-34.4321007057541
15,0.6,90,132,-34.7031519559643
15,0.6,90,134,-34.9896436536353
15,0.6,90,136,-35.2923836834571
15,0.6,90,138,-35.6123866627385
15,0.6,90,140,-35.9509013838782
15,0.6,90,142,-36.3094408532853
15,0.6,90,144,-36.6898165032671
15,0.6,90,146,-37.0941788718602
15,0.6,90,148,-37.5250679219702
15,0.6,90,150,-37.9854772620223
15,0.6,90,152,-38.4789379321226
15,0.6,90,154,-39.0096292812548
15,0.6,90,156,-39.5825269893632
15,0.6,90,158,-40.2036017297352
15,0.6,90,160,-40.8800865045525
15,0.6,90,162,-41.6208360714465
15,0.6,90,164,-42.4368062508193
15,0.6,90,166,-43.3416770810399
15,0.6,90,168,-44.3526075077885
15,0.6,90,170,-45.4909608675356
15,0.6,90,172,-46.782315413177
15,0.6,90,174,-48.2532775744279
15,0.6,90,176,-49.9165542100888
15,0.6,90,178,-51.7170376512865
15,0.6,90,180,-53.3784527339667
5,0.6,136,0,-60.4350395970726
5,0.6,136,2,-61.2006832741443
5,0.6,136,4,-58.7546774278371
5,0.6,136,6,-55.7898276386075
5,0.6,136,8,-53.296469957267
5,0.6,136,10,-51.2647647020542
5,0.6,136,12,-49.579339891932
5,0.6,136,14,-48.1500595141125
5,0.6,136,16,-46.9149748140966
5,0.6,136,18,-45.8315533765452
5,0.6,136,20,-44.8698953965066
5,0.6,136,22,-44.0083878700458
5,0.6,136,24,-43.2309785318712
5,0.6,136,26,-42.5254389466083
5,0.6,136,28,-41.88223016435
5,0.6,136,30,-41.2937428151346
5,0.6,136,32,-40.7537761381968
5,0.6,136,34,-40.2571737977435
5,0.6,136,36,-39.7995654357618
5,0.6,136,38,-39.3771814068677
5,0.6,136,40,-38.9867193836978
5,0.6,136,42,-38.6252485023154
5,0.6,136,44,-38.290141133817
5,0.6,136,46,-37.9790252082438
5,0.6,136,48,-37.6897518693914
5,0.6,136,50,-37.4203744663015
5,0.6,136,52,-37.1691357186922
5,0.6,136,54,-36.934460479259
5,0.6,136,56,-36.714951955589
5,0.6,136,58,-36.5093896149482
5,0.6,136,60,-36.3167273189795
5,0.6,136,62,-36.1360905466307
5,0.6,136,64,-35.9667718722652
5,0.6,136,66,-35.8082241708393
5,0.6,136,68,-35.6600513147587
5,0.6,136,70,-35.5219963950785
5,0.6,136,72,-35.3939277300112
5,0.6,136,74,-35.2758231053177
5,0.6,136,76,-35.1677528172683
5,0.6,136,78,-35.0698621577317
5,0.6,136,80,-34.9823539958274
5,0.6,136,82,-34.9054720788865
