"fat_thickness [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
7.5,0.6,0,98,-33.3222314398683
7.5,0.6,0,100,-33.4051964778527
7.5,0.6,0,102,-33.5014891599313
7.5,0.6,0,104,-33.6113403928571
7.5,0.6,0,106,-33.7350119433257
7.5,0.6,0,108,-33.8727944112404
7.5,0.6,0,110,-34.0250063561688
7.5,0.6,0,112,-34.1919949630041
7.5,0.6,0,114,-34.3741386018424
7.5,0.6,0,116,-34.5718515950241
7.5,0.6,0,118,-34.7855914558557
7.5,0.6,0,120,-35.0158688151075
7.5,0.6,0,122,-35.2632602113865
7.5,0.6,0,124,-35.5284239006698
7.5,0.6,0,126,-35.8121188520027
7.5,0.6,0,128,-36.1152271569828
7.5,0.6,0,130,-36.4387802099368
7.5,0.6,0,132,-36.7839892379448
7.5,0.6,0,134,-37.1522811058446
7.5,0.6,0,136,-37.5453408322574
7.5,0.6,0,138,-37.9651629873705
7.5,0.6,0,140,-38.414115190862
7.5,0.6,0,142,-38.8950184306577
7.5,0.6,0,144,-39.4112511129276
7.5,0.6,0,146,-39.9668870233355
7.5,0.6,0,148,-40.5668824066263
7.5,0.6,0,150,-41.2173353565756
7.5,0.6,0,152,-41.9258538435893
7.5,0.6,0,154,-42.702091145658
7.5,0.6,0,156,-43.5585474038844
7.5,0.6,0,158,-44.5118105927597
7.5,0.6,0,160,-45.5845571683103
7.5,0.6,0,162,-46.8089417650346
7.5,0.6,0,164,-48.2327088395407
7.5,0.6,0,166,-49.9311258881818
7.5,0.6,0,168,-52.032869214883
7.5,0.6,0,170,-54.7848907279226
7.5,0.6,0,172,-58.7513680959507
7.5,0.6,0,174,-65.5216996198123
7.5,0.6,0,176,-68.2322908165683
7.5,0.6,0,178,-60.332318834303
7.5,0.6,0,180,-55.8640995769459
10,0.6,0,0,-59.9381063992793
10,0.6,0,2,-58.7670116099389
10,0.6,0,4,-56.0401919411186
10,0.6,0,6,-53.4783696974808
10,0.6,0,8,-51.3517111678695
10,0.6,0,10,-49.5877973442227
10,0.6,0,12,-48.0966075499735
10,0.6,0,14,-46.8107777268853
10,0.6,0,16,-45.6829492081455
10,0.6,0,18,-44.6796614707575
10,0.6,0,20,-43.7767988074222
10,0.6,0,22,-42.9565937644868
10,0.6,0,24,-42.205683925329
10,0.6,0,26,-41.5138344451224
10,0.6,0,28,-40.8730796861009
10,0.6,0,30,-40.2771327450795
10,0.6,0,32,-39.7209699265649
10,0.6,0,34,-39.2005321022143
10,0.6,0,36,-38.7125059359063
10,0.6,0,38,-38.2541608533456
10,0.6,0,40,-37.8232257048482
10,0.6,0,42,-37.4177942252458
10,0.6,0,44,-37.0362517572584
10,0.6,0,46,-36.6772179415561
10,0.6,0,48,-36.3395015922692
10,0.6,0,50,-36.0220650201792
10,0.6,0,52,-35.7239957937973
10,0.6,0,54,-35.4444844412392
10,0.6,0,56,-35.1828069587284
10,0.6,0,58,-34.9383112485337
10,0.6,0,60,-34.7104067902646
10,0.6,0,62,-34.4985569760352
10,0.6,0,64,-34.302273627592
10,0.6,0,66,-34.1211132737675
10,0.6,0,68,-33.954674808555
10,0.6,0,70,-33.8025981806986
