"fat_thickness [mm]","Freq [MHz]","dB(S(1,1)) []"
7.5,738.65375,-4.93306722420354
7.5,740.15,-4.87637762471645
7.5,741.64625,-4.82086522654231
7.5,743.1425,-4.76651290843646
7.5,744.63875,-4.71330413915084
7.5,746.135,-4.66122296272191
7.5,747.63125,-4.61025398375667
7.5,749.1275,-4.56038235261739
7.5,750.62375,-4.51159375039605
7.5,752.12,-4.46387437355874
7.5,753.61625,-4.4172109181295
7.5,755.1125,-4.37159056326989
7.5,756.60875,-4.32700095409633
7.5,758.105,-4.28343018356289
7.5,759.60125,-4.24086677321783
7.5,761.0975,-4.19929965262509
7.5,762.59375,-4.15871813722091
7.5,764.09,-4.1191119043521
7.5,765.58625,-4.08047096721856
7.5,767.0825,-4.04278564641732
7.5,768.57875,-4.0060465387532
7.5,770.075,-3.97024448295538
7.5,771.57125,-3.93537052190195
7.5,773.0675,-3.90141586092475
7.5,774.56375,-3.86837182172768
7.5,776.06,-3.83622979141729
7.5,777.55625,-3.80498116610833
7.5,779.0525,-3.77461728852761
7.5,780.54875,-3.74512937900868
7.5,782.045,-3.71650845923391
7.5,783.54125,-3.68874526805666
7.5,785.0375,-3.66183016871217
7.5,786.53375,-3.63575304671543
7.5,788.03,-3.61050319774541
7.5,789.52625,-3.58606920482881
7.5,791.0225,-3.56243880417682
7.5,792.51875,-3.53959873908778
7.5,794.015,-3.51753460142434
7.5,795.51125,-3.49623066030627
7.5,797.0075,-3.47566967783965
7.5,798.50375,-3.45583271193571
7.5,800,-3.43669890657224
10,201.5,-1.25689148637124
10,202.99625,-1.24912826541578
10,204.4925,-1.24202680075719
10,205.98875,-1.23556414199527
10,207.485,-1.22971844322639
10,208.98125,-1.22446890570385
10,210.4775,-1.21979572371127
10,211.97375,-1.21568003349223
10,213.47,-1.21210386508022
10,214.96625,-1.2090500968757
10,216.4625,-1.20650241282097
10,217.95875,-1.20444526202832
10,219.455,-1.20286382072271
10,220.95125,-1.20174395636601
10,222.4475,-1.20107219383603
10,223.94375,-1.20083568353992
10,225.44,-1.20102217134761
10,226.93625,-1.20161997023753
10,228.4325,-1.20261793355231
10,229.92875,-1.20400542976862
10,231.425,-1.20577231869037
10,232.92125,-1.20790892898038
